Date,NO2
1/11/2016 1:00,88
1/11/2016 2:00,75
1/11/2016 3:00,85
1/11/2016 4:00,74
1/11/2016 5:00,70
1/11/2016 6:00,53
1/11/2016 7:00,63
1/11/2016 8:00,90
1/11/2016 9:00,129
1/11/2016 10:00,102
1/11/2016 11:00,105
1/11/2016 12:00,115
1/11/2016 13:00,103
1/11/2016 14:00,115
1/11/2016 15:00,126
1/11/2016 16:00,112
1/11/2016 17:00,N.A.
1/11/2016 18:00,121
1/11/2016 19:00,145
1/11/2016 20:00,152
1/11/2016 21:00,125
1/11/2016 22:00,133
1/11/2016 23:00,108
1/12/2016 0:00,60
2/11/2016 1:00,60
2/11/2016 2:00,46
2/11/2016 3:00,35
2/11/2016 4:00,32
2/11/2016 5:00,33
2/11/2016 6:00,36
2/11/2016 7:00,68
2/11/2016 8:00,85
2/11/2016 9:00,85
2/11/2016 10:00,86
2/11/2016 11:00,103
2/11/2016 12:00,109
2/11/2016 13:00,100
2/11/2016 14:00,107
2/11/2016 15:00,122
2/11/2016 16:00,117
2/11/2016 17:00,116
2/11/2016 18:00,153
2/11/2016 19:00,N.A.
2/11/2016 20:00,138
2/11/2016 21:00,115
2/11/2016 22:00,112
2/11/2016 23:00,139
2/12/2016 0:00,96
3/11/2016 1:00,74
3/11/2016 2:00,58
3/11/2016 3:00,56
3/11/2016 4:00,49
3/11/2016 5:00,37
3/11/2016 6:00,42
3/11/2016 7:00,62
3/11/2016 8:00,79
3/11/2016 9:00,99
3/11/2016 10:00,96
3/11/2016 11:00,108
3/11/2016 12:00,106
3/11/2016 13:00,110
3/11/2016 14:00,108
3/11/2016 15:00,114
3/11/2016 16:00,114
3/11/2016 17:00,102
3/11/2016 18:00,N.A.
3/11/2016 19:00,233
3/11/2016 20:00,123
3/11/2016 21:00,121
3/11/2016 22:00,84
3/11/2016 23:00,123
3/12/2016 0:00,141
4/11/2016 1:00,67
4/11/2016 2:00,64
4/11/2016 3:00,64
4/11/2016 4:00,65
4/11/2016 5:00,62
4/11/2016 6:00,62
4/11/2016 7:00,73
4/11/2016 8:00,93
4/11/2016 9:00,153
4/11/2016 10:00,124
4/11/2016 11:00,130
4/11/2016 12:00,158
4/11/2016 13:00,187
4/11/2016 14:00,186
4/11/2016 15:00,182
4/11/2016 16:00,168
4/11/2016 17:00,196
4/11/2016 18:00,207
4/11/2016 19:00,156
4/11/2016 20:00,136
4/11/2016 21:00,132
4/11/2016 22:00,129
4/11/2016 23:00,155
4/12/2016 0:00,168
5/11/2016 1:00,178
5/11/2016 2:00,100
5/11/2016 3:00,91
5/11/2016 4:00,75
5/11/2016 5:00,68
5/11/2016 6:00,68
5/11/2016 7:00,113
5/11/2016 8:00,134
5/11/2016 9:00,97
5/11/2016 10:00,101
5/11/2016 11:00,109
5/11/2016 12:00,97
5/11/2016 13:00,96
5/11/2016 14:00,78
5/11/2016 15:00,78
5/11/2016 16:00,73
5/11/2016 17:00,82
5/11/2016 18:00,132
5/11/2016 19:00,136
5/11/2016 20:00,98
5/11/2016 21:00,125
5/11/2016 22:00,133
5/11/2016 23:00,152
5/12/2016 0:00,140
6/11/2016 1:00,121
6/11/2016 2:00,91
6/11/2016 3:00,84
6/11/2016 4:00,69
6/11/2016 5:00,68
6/11/2016 6:00,67
6/11/2016 7:00,102
6/11/2016 8:00,92
6/11/2016 9:00,106
6/11/2016 10:00,96
6/11/2016 11:00,87
6/11/2016 12:00,101
6/11/2016 13:00,85
6/11/2016 14:00,91
6/11/2016 15:00,98
6/11/2016 16:00,97
6/11/2016 17:00,90
6/11/2016 18:00,86
6/11/2016 19:00,81
6/11/2016 20:00,72
6/11/2016 21:00,93
6/11/2016 22:00,90
6/11/2016 23:00,84
6/12/2016 0:00,69
7/11/2016 1:00,73
7/11/2016 2:00,65
7/11/2016 3:00,46
7/11/2016 4:00,46
7/11/2016 5:00,43
7/11/2016 6:00,49
7/11/2016 7:00,85
7/11/2016 8:00,116
7/11/2016 9:00,117
7/11/2016 10:00,111
7/11/2016 11:00,93
7/11/2016 12:00,80
7/11/2016 13:00,93
7/11/2016 14:00,93
7/11/2016 15:00,94
7/11/2016 16:00,89
7/11/2016 17:00,81
7/11/2016 18:00,71
7/11/2016 19:00,88
7/11/2016 20:00,82
7/11/2016 21:00,59
7/11/2016 22:00,61
7/11/2016 23:00,52
7/12/2016 0:00,67
8/11/2016 1:00,68
8/11/2016 2:00,58
8/11/2016 3:00,47
8/11/2016 4:00,41
8/11/2016 5:00,61
8/11/2016 6:00,38
8/11/2016 7:00,64
8/11/2016 8:00,127
8/11/2016 9:00,103
8/11/2016 10:00,92
8/11/2016 11:00,94
8/11/2016 12:00,112
8/11/2016 13:00,122
8/11/2016 14:00,111
8/11/2016 15:00,147
8/11/2016 16:00,133
8/11/2016 17:00,184
8/11/2016 18:00,123
8/11/2016 19:00,141
8/11/2016 20:00,148
8/11/2016 21:00,150
8/11/2016 22:00,120
8/11/2016 23:00,134
8/12/2016 0:00,N.A.
9/11/2016 1:00,86
9/11/2016 2:00,82
9/11/2016 3:00,38
9/11/2016 4:00,42
9/11/2016 5:00,44
9/11/2016 6:00,33
9/11/2016 7:00,46
9/11/2016 8:00,75
9/11/2016 9:00,91
9/11/2016 10:00,93
9/11/2016 11:00,73
9/11/2016 12:00,63
9/11/2016 13:00,81
9/11/2016 14:00,79
9/11/2016 15:00,86
9/11/2016 16:00,78
9/11/2016 17:00,101
9/11/2016 18:00,96
9/11/2016 19:00,77
9/11/2016 20:00,95
9/11/2016 21:00,100
9/11/2016 22:00,108
9/11/2016 23:00,76
9/12/2016 0:00,66
10/11/2016 1:00,58
10/11/2016 2:00,49
10/11/2016 3:00,42
10/11/2016 4:00,37
10/11/2016 5:00,27
10/11/2016 6:00,27
10/11/2016 7:00,45
10/11/2016 8:00,68
10/11/2016 9:00,86
10/11/2016 10:00,101
10/11/2016 11:00,N.A.
10/11/2016 12:00,122
10/11/2016 13:00,104
10/11/2016 14:00,88
10/11/2016 15:00,97
10/11/2016 16:00,92
10/11/2016 17:00,110
10/11/2016 18:00,82
10/11/2016 19:00,101
10/11/2016 20:00,133
10/11/2016 21:00,111
10/11/2016 22:00,76
10/11/2016 23:00,74
10/12/2016 0:00,93
11/11/2016 1:00,64
11/11/2016 2:00,N.A.
11/11/2016 3:00,N.A.
11/11/2016 4:00,115
11/11/2016 5:00,109
11/11/2016 6:00,78
11/11/2016 7:00,108
11/11/2016 8:00,79
11/11/2016 9:00,108
11/11/2016 10:00,141
11/11/2016 11:00,104
11/11/2016 12:00,82
11/11/2016 13:00,81
11/11/2016 14:00,101
11/11/2016 15:00,87
11/11/2016 16:00,84
11/11/2016 17:00,120
11/11/2016 18:00,114
11/11/2016 19:00,122
11/11/2016 20:00,108
11/11/2016 21:00,94
11/11/2016 22:00,81
11/11/2016 23:00,101
11/12/2016 0:00,84
12/11/2016 1:00,80
12/11/2016 2:00,51
12/11/2016 3:00,70
12/11/2016 4:00,48
12/11/2016 5:00,49
12/11/2016 6:00,29
12/11/2016 7:00,44
12/11/2016 8:00,77
12/11/2016 9:00,89
12/11/2016 10:00,82
12/11/2016 11:00,92
12/11/2016 12:00,115
12/11/2016 13:00,127
12/11/2016 14:00,89
12/11/2016 15:00,101
12/11/2016 16:00,115
12/11/2016 17:00,106
12/11/2016 18:00,121
12/11/2016 19:00,109
12/11/2016 20:00,N.A.
12/11/2016 21:00,123
12/11/2016 22:00,83
12/11/2016 23:00,82
12/12/2016 0:00,79
#VALUE!,64
#VALUE!,70
#VALUE!,58
#VALUE!,52
#VALUE!,40
#VALUE!,37
#VALUE!,53
#VALUE!,80
#VALUE!,72
#VALUE!,89
#VALUE!,89
#VALUE!,94
#VALUE!,89
#VALUE!,73
#VALUE!,72
#VALUE!,106
#VALUE!,83
#VALUE!,77
#VALUE!,74
#VALUE!,77
#VALUE!,56
#VALUE!,102
#VALUE!,103
#VALUE!,89
#VALUE!,95
#VALUE!,65
#VALUE!,51
#VALUE!,43
#VALUE!,59
#VALUE!,66
#VALUE!,84
#VALUE!,74
#VALUE!,94
#VALUE!,123
#VALUE!,122
#VALUE!,120
#VALUE!,158
#VALUE!,162
#VALUE!,130
#VALUE!,155
#VALUE!,147
#VALUE!,182
#VALUE!,120
#VALUE!,121
#VALUE!,118
#VALUE!,110
#VALUE!,113
#VALUE!,118
#VALUE!,121
#VALUE!,116
#VALUE!,108
#VALUE!,102
#VALUE!,103
#VALUE!,98
#VALUE!,116
#VALUE!,136
#VALUE!,131
#VALUE!,144
#VALUE!,148
#VALUE!,118
#VALUE!,138
#VALUE!,115
#VALUE!,121
#VALUE!,111
#VALUE!,107
#VALUE!,109
#VALUE!,115
#VALUE!,109
#VALUE!,74
#VALUE!,89
#VALUE!,75
#VALUE!,64
#VALUE!,50
#VALUE!,42
#VALUE!,39
#VALUE!,40
#VALUE!,37
#VALUE!,31
#VALUE!,53
#VALUE!,106
#VALUE!,85
#VALUE!,93
#VALUE!,74
#VALUE!,87
#VALUE!,81
#VALUE!,97
#VALUE!,97
#VALUE!,103
#VALUE!,93
#VALUE!,82
#VALUE!,94
#VALUE!,99
#VALUE!,80
#VALUE!,82
#VALUE!,82
#VALUE!,66
#VALUE!,63
#VALUE!,40
#VALUE!,40
#VALUE!,51
#VALUE!,43
#VALUE!,40
#VALUE!,68
#VALUE!,111
#VALUE!,101
#VALUE!,102
#VALUE!,90
#VALUE!,77
#VALUE!,112
#VALUE!,114
#VALUE!,117
#VALUE!,119
#VALUE!,102
#VALUE!,76
#VALUE!,101
#VALUE!,98
#VALUE!,83
#VALUE!,78
#VALUE!,91
#VALUE!,92
#VALUE!,72
#VALUE!,66
#VALUE!,52
#VALUE!,41
#VALUE!,42
#VALUE!,41
#VALUE!,64
#VALUE!,97
#VALUE!,105
#VALUE!,88
#VALUE!,95
#VALUE!,101
#VALUE!,98
#VALUE!,113
#VALUE!,114
#VALUE!,92
#VALUE!,99
#VALUE!,98
#VALUE!,93
#VALUE!,117
#VALUE!,97
#VALUE!,89
#VALUE!,87
#VALUE!,66
#VALUE!,67
#VALUE!,61
#VALUE!,63
#VALUE!,51
#VALUE!,47
#VALUE!,50
#VALUE!,51
#VALUE!,73
#VALUE!,66
#VALUE!,79
#VALUE!,82
#VALUE!,92
#VALUE!,114
#VALUE!,91
#VALUE!,98
#VALUE!,113
#VALUE!,100
#VALUE!,81
#VALUE!,80
#VALUE!,70
